,month,price
0,2016-September,263.8350772043885
1,2016-October,245.58817346306228
2,2016-November,210.5920761165376
3,2016-December,200.75925585949452
4,2017-January,190.65549882168108
5,2017-February,189.1882452965926
6,2017-March,190.7622520618908
7,2017-April,207.6396464770112
8,2017-May,203.88319041465994
9,2017-June,206.3719976147883
10,2017-July,213.61257884632965
11,2017-August,213.73634172167527
12,2017-September,204.6769123783032
